"time","survival","n_risk","n_event","lower_CI","upper_CI","Sex"
0.550308008213552,0.98711352767363,56153,2,0.986207602533498,0.988020284991851,"sex.=F"
0.553045859000684,0.987078350882379,56123,2,0.986171149012372,0.987986387308572,"sex.=F"
0.555783709787817,0.98704317221062,56118,2,0.98613469536161,0.987952485994169,"sex.=F"
0.558521560574949,0.986990399500873,56111,3,0.986080013364081,0.987901626140369,"sex.=F"
0.561259411362081,0.986972798245421,56075,1,0.986061775858262,0.987884662326082,"sex.=F"
0.563997262149213,0.986937574376818,56040,2,0.986025279329453,0.987850713502191,"sex.=F"
0.566735112936345,0.986919952064982,56005,1,0.986007020629626,0.987833728772013,"sex.=F"
0.569472963723477,0.986919952064982,55969,0,0.986007020629626,0.987833728772013,"sex.=F"
0.572210814510609,0.986849387217845,55944,4,0.985933909375092,0.987765715117252,"sex.=F"
0.574948665297741,0.986849387217845,55935,0,0.985933909375092,0.987765715117252,"sex.=F"
0.577686516084873,0.986796455066414,55931,3,0.985879071684219,0.987714692095161,"sex.=F"
0.580424366872005,0.986743517235772,55922,3,0.985824232063363,0.987663659645405,"sex.=F"
0.583162217659138,0.986708208300066,55892,2,0.98578765633001,0.987629619903456,"sex.=F"
0.58590006844627,0.986672884195662,55866,2,0.985751066162597,0.987595564260244,"sex.=F"
0.588637919233402,0.986637541744361,55835,2,0.985714458149177,0.987561489771752,"sex.=F"
0.591375770020534,0.986602178391611,55800,2,0.985677829547588,0.987527394071388,"sex.=F"
0.594113620807666,0.9865491276579,55792,3,0.985622883945449,0.98747624181221,"sex.=F"
0.596851471594798,0.9865491276579,55786,0,0.985622883945449,0.98747624181221,"sex.=F"
0.59958932238193,0.986513744646364,55764,2,0.985586238811581,0.987442123329245,"sex.=F"
0.602327173169062,0.986496047427925,55744,1,0.985567910798493,0.987425058109357,"sex.=F"
0.605065023956194,0.986460630753572,55708,2,0.985531232285964,0.987390905684029,"sex.=F"
0.607802874743327,0.986442912556343,55675,1,0.985512883135913,0.987373819646398,"sex.=F"
0.610540725530459,0.986389731218283,55646,3,0.985457809717927,0.987322534012262,"sex.=F"
0.613278576317591,0.986336548924446,55642,3,0.985402739320997,0.987271243445647,"sex.=F"
0.616016427104723,0.98631881958127,55633,1,0.985384381367621,0.987254143920975,"sex.=F"
0.618754277891855,0.986283350693915,55616,2,0.985347655865411,0.987219934066484,"sex.=F"
0.621492128678987,0.986283350693915,55580,0,0.985347655865411,0.987219934066484,"sex.=F"
0.624229979466119,0.986265597416069,55555,1,0.985329273596571,0.987202810991225,"sex.=F"
0.626967830253251,0.986212311684943,55527,3,0.985274101708153,0.987151415055722,"sex.=F"
0.629705681040383,0.986194541133171,55497,1,0.9852557027074,0.987134274166897,"sex.=F"
0.632443531827515,0.986087913979843,55494,6,0.985145313878066,0.987031415973899,"sex.=F"
0.635181382614648,0.986034596559651,55484,3,0.985090121280821,0.98697997737345,"sex.=F"
0.63791923340178,0.985981257027218,55458,3,0.985034908925525,0.986928514309612,"sex.=F"
0.640657084188912,0.985945679375278,55427,2,0.984998083622378,0.986894186741841,"sex.=F"
0.643394934976044,0.985927882843097,55401,1,0.984979663368063,0.986877015149335,"sex.=F"
0.646132785763176,0.985874470107462,55376,3,0.984924380422595,0.986825476279347,"sex.=F"
0.648870636550308,0.985838858401418,55368,2,0.984887523841786,0.986791111885722,"sex.=F"
0.65160848733744,0.985803246052158,55365,2,0.984850668292607,0.986756745174122,"sex.=F"
0.654346338124572,0.985767629842968,55357,2,0.984813810324555,0.986722373162068,"sex.=F"
0.657084188911704,0.985749813370055,55329,1,0.98479537302209,0.986705178738996,"sex.=F"
0.659822039698836,0.985625041681474,55303,7,0.984666263469455,0.986584753464281,"sex.=F"
0.662559890485969,0.985571555526145,55283,3,0.984610923691773,0.986533124597246,"sex.=F"
0.665297741273101,0.985535880019176,55252,2,0.984574013269798,0.986498686451737,"sex.=F"
0.668035592060233,0.985482365790139,55249,3,0.984518649741637,0.986447025191642,"sex.=F"
